Govt Loan #,Notional Gtd Balance,Invested,Gross Margin,Strip Rate,Multiple,Price,Note Date,Note Maturity Date,Business Name,City,State,Zip,NAICS
4403259103,227906.25,12901.77,0.02,0.0153,3.7,0.05661,44865,54178,"E and B Stables, LLC",Powder Springs,GA,30127,812910
4404589110,889920.72,15804.99,0.015,0.0048,3.7,0.01776,44866,53997,SPINE AND WELLNESS MANAGEMENT LLC,Pahrump,NV,89048,621310
4515289106,3740590.23,66432.88,0.015,0.0048,3.7,0.01776,44917,54048,"KESHAVJI HOLDINGS LLC (EPC) 
& PSM100 MANAGEMENT LLC (OC) 
dba HIGHWAY 138 PACKAGE STORE",Stockbridge,GA,30281,445320
4630419103,1891818.92,16099.38,0.0125,0.0023,3.7,0.00851,44943,54074,"2805 Holdings, LLC & 3D, LLC (Wholesale Tire)",Clifton Forge,VA,24422,423130
4804159109,1850250,32860.44,0.015,0.0048,3.7,0.01776,45050,54182,AAA TX Properties LLC and AAA TX Operating LLC,Jefferson,TX,75657,457110
4854959100,639300,46835.12,0.03,0.0198,3.7,0.07326,44987,54119,FSC LLC,Fariview ,PA,16415,811111
4857539109,187500,17551.88,0.03,0.0253,3.7,0.09361,45016,54148,"Diverse Automotive, LLC       ",Columbus,GA, 31903,811198
4870339102,262500,22144.5,0.0275,0.0228,3.7,0.08436,45022,54154,"DMSP, LLC",Melbourne Beach,FL,32951,621391
4894749101,2790000,49550.4,0.015,0.0048,3.7,0.01776,44994,54126,PS2 Gasoline Inc,King City,CA,93930,447100
4895479105,2007750,17085.95,0.0125,0.0023,3.7,0.00851,45002,54140,"Hobak Hospitality, Inc.",Los Angeles,CA,90041,722511
4896119104,3187500,115578.75,0.02,0.0098,3.7,0.03626,44995,54127,Sigma Construction,Somerset,NJ,8873,541211
4896269103,459600,25167.7,0.025,0.0148,3.7,0.05476,45021,54153,G Commercial Tire and Repair LLC,Commerce,GA,30529,811198
4897359108,192975,13280.54,0.0233,0.0186,3.7,0.06882,45013,54145,Palmetto King Properties LLC,Charleston,SC,29405,524210
4903219109,3750000,135975,0.02,0.0098,3.7,0.03626,45019,54151,Palmdale Health & Wellness Center LLC,Palmdal,CA,93551,622110
4910729107,3590811.78,63772.82,0.015,0.0048,3.7,0.01776,45005,54141,Devi 2017 LLC,Norfolk,VA,23505,424990
4921509106,450000,20479.5,0.0225,0.0123,3.7,0.04551,45044,54176,Nite Owl Tattoo Tampa Inc dba Momentum Tattoo,Tampa,FL,33629,812990
4928279101,1203750,43647.98,0.02,0.0098,3.7,0.03626,45019,54151,Hicksville Pines Inc,Idyllwild,CA,92549,721110
4935729103,2591250,165865.91,0.0275,0.0173,3.7,0.06401,45012,54148,"CITORY SOLUTIONS, LLC and PRECISION ONE PARTNERS, LLC",Cloud,FL,34771,238190
4938609108,747975,34040.34,0.0225,0.0123,3.7,0.04551,45023,54165,DIANA KAWUKI (A Dignified Adult Care),Peoria,AZ,95381,623312
4940529107,618750,10989,0.015,0.0048,3.7,0.01776,45014,54146,"Colfax Lodging, LLC",Colfax,IA,50054,721110
4942489101,626250,22707.83,0.02,0.0098,3.7,0.03626,45030,54162,"Basin Wire Rope & Rigging, Inc",Odessa,TX,79764,213112
4943169101,656250,17725.31,0.0175,0.0073,3.7,0.02701,45043,54175,8722 Lefferts Blvd LLC (EPC)/ Overtime Bar and Lounge Corp,Richmond Hill,NY,11418,722410
4953269100,1755000,31168.8,0.015,0.0048,3.7,0.01776,45042,54174,"650 Morrisplains 82, LLC",Morris Plains,NJ,7950,722511
4960809105,975000,44372.25,0.0225,0.0123,3.7,0.04551,45022,54174,"Chuck Geroge, Inc.",Newport,DE,19804,332710
4961329105,2100000,17871,0.0125,0.0023,3.7,0.00851,45040,54172,Diwan Best Western Hope LLC,Hope,AR,71801,721110
4965649104,187500,8880,0.0175,0.0128,3.7,0.04736,45036,54172,JL SHAW ENTERPRISES LLC,Brookings,OR,97415,722511
4967319103,1182750,53826.95,0.0225,0.0123,3.7,0.04551,45027,54159,"Pratt and Rutski Funeral Service, LLC",Delmar,NY,12054,812210
4967929109,552750,25155.65,0.0225,0.0123,3.7,0.04551,45037,54169,"Costa D'Oro, LLC",Kissimmee,FL,34741,624410
4967979102,397500,21767.1,0.025,0.0148,3.7,0.05476,45040,54172,OLD HICKORY VENTURES INC,Wells,VT,5774,445298
4968699103,3750000,66600,0.015,0.0048,3.7,0.01776,45033,54165,My Place Medford Oregon,Medford,OR,97504,721110
4976009106,2397142.36,20399.68,0.0125,0.0023,3.7,0.00851,45027,54159,"Rhythm CB, LLC",Colonial Beach,VA,22443,721110
4977279108,300750,22589.33,0.025,0.0203,3.7,0.07511,45037,54169,KJ Institute of Cosmetology & Barbershop Professionals LLC,Tacoma,WA,98409,611511
4984429103,412500,22588.5,0.025,0.0148,3.7,0.05476,45048,54180,Tabakera LLC,Garfield,NJ,7026,722410
4985399109,821250,6988.84,0.0125,0.0023,3.7,0.00851,45030,54162,BUSYBEE 5 POINT LLC,Roanoke Rapids,NC,27870,457110
4986539105,1586250,13498.99,0.0125,0.0023,3.7,0.00851,45033,54165,JOZIAH HOTEL LLC,Cincinnati,OH,45213,721110
4989529108,3750000,135975,0.02,0.0098,3.7,0.03626,45036,54168,"Bill's Distributing, Inc.",Anchorage,AK,99517,424990
5002719103,1305000,47319.3,0.02,0.0098,3.7,0.03626,45037,54182,"CMJ Technologies, Inc.",Los Angeles Aka Sun Valley,CA,91352,332911
5014799102,1349657.88,11485.59,0.0125,0.0023,3.7,0.00851,45043,54175,SOUTH STATE LLC,Tiffin,OH,44883,721110
8483168602,3720260.88,141779.14,0.015,0.0103,3.7,0.03811,44323,53699,Outdoor Hospitality of Katy LLC,Rosenberg,TX,77471,721211
