Trans,GP#,Status,Inv Status,Pkg ID,GTD Bal,Orig Fee,Note DT,Loan Age,Matures,Orig Mos,Mat Mos,Paid To,Sell Ratio,Sell Value,Borrower,Street Addr,City/State,NAICS,Gross Cpn,NetCpn,Adjust,Pays,Basis,Orig Lender,NAICS PRE,GEO
321166.11,4057909104,Tentative,Available,973,693750,0.365,44747,10,53919,300,291,,2.97,7520.596875,Sakaria Holding Company LLC,534 Pendleton St.,"High Point, NC 27260",811111,0.5,-1.115,Q,M,30/360,Live Oak Banking Co.,81,NC
321216.11,4365719108,Tentative,Available,973,3708750,1.555,44900,5,54072,300,296,,2.97,171283.0556,4424 Liquors Inc. & Express Real Estate LLC,4430 S Kedzie Street,"Chicago, IL 60632",445320,1.75,0.075,Q,M,30/360,Millennium Bank,44,IL
321228.11,4072809107,Tentative,Available,973,2010754.25,1.305,44704,12,53858,300,289,,2.97,77933.8186,Victoria10 Hospitality LLC,3112 Houston Highway,"Victoria, TX 77901",721110,1.5,-0.175,Q,M,365/365,Wallis State Bank,72,TX
319048.11,4177089101,Tentative,Available,947,1384771.43,2.805,44756,10,52093,240,231,45017,2.97,115363.2307,Fahlam Family Farm LLC,684 HWY 191 ,"Danielsville, GA 30633",112310,2,0.325,Q,M,365/365,"VelocitySBA, LLC",11,GA
319190.11,4156959103,Tentative,Available,947,945801.84,2.055,44760,10,52093,240,231,45018,2.97,57725.5966,J. Jireh Farm LLC DBA Jireh Farm,930 McBryant Rd.,"Pitts, GA 31072",112320,1.25,-0.425,Q,M,365/365,First IC Bank,11,GA
319339.11,4142789110,Tentative,Available,947,790701.66,2.305,44797,9,52124,240,232,45040,2.97,54130.24959,Goshem LLC,889 Burkett Road ,"Thomaston, GA 30286",112320,1.5,-0.175,Q,M,365/365,PromiseOne Bank,11,GA
319475.11,8371098709,Tentative,Available,947,1437079.5,2.855,44398,22,52001,249,228,45021,2.97,121855.0006,F2 Investment LLC dba Dominos Pizza,5805 Yorkshire Rd.,"McKinney, TX 75070",722513,1.5,0.375,Q,M,365/365,United Community Bank,72,TX
319577.11,4095019109,Tentative,Available,947,2301422.91,3.555,44741,11,52062,240,230,45016,2.97,242992.2858,SVG 26 LLC,2037 State Route 17B,"Bethel, NY 12720",312140,2.75,1.075,Q,M,365/365,M&T Bank,31,NY
319601.11,4334069100,Tentative,Available,947,1422003.75,3.055,44833,8,52154,240,233,45010,2.97,129023.3773,MB Family Farm LLC,1512 Yonah Homer Rd. ,"Maysville, GA 30558",112310,2.25,0.575,Q,M,365/365,"VelocitySBA, LLC",11,GA
319966.11,3857269106,Tentative,Available,947,621000,3.615,44691,12,52215,246,235,45020,2.97,66673.9755,"Gray Group Investments, LLC",8035 Harford Rd,"Parkville, MD 21234",524210,2.75,1.135,Q,M,365/365,M&T Bank,52,MD
319968.11,3620269108,Tentative,Available,947,774014.87,2.805,44678,13,52001,240,228,45003,2.97,64482.0178,"Tru Investments, LLC",525 Black Diamond Rd,"Smyrna, DE 19977",541613,2,0.325,Q,M,365/365,M&T Bank,54,DE
319977.11,2816269105,Tentative,Available,947,81206.69,3.605,44875,6,52215,240,235,45026,2.97,8694.678488,J2KE Inc.,2137 West Washington Street ,"Stephenville, TX 76401",722513,2.25,1.125,Q,M,365/365,KeyBank - East,72,TX
319978.11,1392849103,Tentative,Available,947,596222.81,3.605,44875,6,52215,240,235,45026,2.97,63836.68193,J2KE Inc.,2137 West Washington Street ,"Stephenville, TX 76401",722513,2.25,1.125,Q,M,365/365,KeyBank - East,72,TX
319982.11,4248259102,Tentative,Available,947,170204.75,3.855,44888,6,52215,240,235,45033,2.97,19487.33754,Printed on a Lark LLC,3658 Rugby Drive,"Toledo, OH 43614",323113,2.5,1.375,Q,M,30/360,Farmers & Merchants State Bank,32,OH
320001.11,4264099102,Tentative,Available,947,373283.13,2.865,44873,6,52215,240,235,45024,2.97,31762.84817,Bills Sharpening LLC / Division 5252 LLC,5252 Division Avenue S,"Grand Rapids, MI 49548",811310,2,0.385,Q,M,365/365,KeyBank - East,81,MI
320096.11,3240859106,Tentative,Available,947,832842.57,2.805,44602,15,52154,247,233,45019,2.97,69382.86524,Pine Grove Hospitality Inc.dba Days Inn Port Huron,2908 Pine Grove Ave,"Port Huron, MI 86305",721110,2,0.325,Q,M,365/365,Stone Bank,72,MI
320104.11,4550569102,Tentative,Available,947,2698473.96,2.805,44902,5,52246,240,236,44988,2.97,224805.8179,"Biak Ling Farm, LLC",2600 Marvis Chapman Road,"Ideal, GA 31041",112390,2,0.325,Q,M,365/365,CapStar Bank,11,GA
320150.11,4349269104,Tentative,Available,947,184936.14,4.105,44883,6,52215,240,235,45016,2.97,22547.13678,"Trung, LLC","5467 St. Claude Ave, Suite A","New Orleans, LA 70117",445120,2.75,1.625,Q,M,365/365,b1BANK,44,LA
320163.11,4419699100,Tentative,Available,947,497361.42,2.805,44896,5,52246,240,236,45017,2.97,41434.43386,Alharbi LLC / Homeland Market LLC,3701 Monroe Street,"Dearborn, MI 48124",445131,2,0.325,Q,M,365/365,KeyBank - East,44,MI
320275.11,3699979100,Tentative,Available,947,543504.96,3.365,44672,13,52001,240,228,45017,2.97,54318.15745,Express Inn Investment Group LLC ,1636 Atlanta Highway ," Gainesville, GA 30504",445120,2.5,0.885,Q,M,30/360,Quantum National Bank,44,GA
320281.11,1489989106,Tentative,Available,947,310250.85,4.105,44505,18,52032,246,229,45029,2.97,37825.31826,Corpo Kinetic LLC Julia Hollas & Benjamin Wright,6334 Telegraph Ave.,"Oakland, CA 94609",713940,2.75,1.625,Q,M,365/365,Heritage Bank of Commerce,71,CA
320291.11,4557489105,Tentative,Available,947,1050000,3.055,44894,6,52215,240,235,44991,2.97,95270.175,"Braustin Homes, Inc.",110 E.Houston - 7th Floor,"San Antonio, TX 78205",453930,2.25,0.575,Q,M,365/365,"TransPecos Banks, SSB",45,TX
320370.11,4670799106,Tentative,Available,947,3292193.33,2.805,44943,4,52305,241,238,45026,2.97,274267.688,Pavilion Car Wash LLC,2334 Fair Oaks Blvd,"Sacramento, CA 95825",811192,2,0.325,Q,M,365/365,Pinnacle Bank,81,CA
320391.11,4388879102,Tentative,Available,947,475204.25,3.055,44859,7,52185,240,234,45040,2.97,43116.94482,"Northland Custom Woodworking, Inc.",502 Business Highway 2,"East Grand Forks, MN 56721",321999,2.25,0.575,Q,M,365/365,Frandsen Bank & Trust,32,MN
320467.11,4299459103,Tentative,Available,947,169955.03,3.845,44967,3,52305,240,238,45026,2.97,19408.26958,Bosewives LLC/7FarmKids LLC,2574 Cherry Valley Turnpike,"Marcellus, NY 13108",722511,2.49,1.365,Q,M,365/365,KeyBank - East,72,NY
320476.11,4434859109,Tentative,Available,947,796642.67,3.055,44895,6,52215,240,235,45043,2.97,72282.1777,Washington Funeral Services Inc. dba Gardner Funeral Home and Columbia,156 NE Church Street,"White Salmon, WA 98672",812210,2.25,0.575,Q,M,365/365,KeyBank - West,81,WA
320496.11,3566179103,Tentative,Available,947,814279.6,3.055,44981,3,52305,240,238,45039,2.97,73882.43809,Classic Cup LLC,6910 West Washington Avenue,"Mt. Pleasant, WI 53406",722515,2.25,0.575,Q,M,365/365,KeyBank - East,72,WI
320558.11,4851869102,Tentative,Available,947,1290000,3.305,45002,2,52336,240,239,45020,2.97,126624.465,Valerie Hill Farm LLC,1687 Marlboro Rd,"Stephens City, VA 22655",312130,2.5,0.825,Q,M,365/365,Berkshire Bank,31,VA
320559.11,4871099104,Tentative,Available,947,750000,3.555,45002,2,52336,240,239,45021,2.97,79187.625,"DKN Ready Mix, LLC and DKN Holdings LLC",362 Maspeth Avenue,"Brooklyn, NY 11211",327320,2.75,1.075,Q,M,365/365,"Grow America Fund, Inc.",32,NY
320941.11,4553629102,Tentative,Available,947,712500,2.805,44915,5,52246,240,236,45043,2.97,59357.30625,"Ukhozi Holdings, LLC dba Scooter's Coffee",8101 Indiana Avenue,"Lubbock, TX 79423",722515,2,0.325,Q,M,365/365,WSFS Bank,72,TX
321232.11,5016129104,Tentative,Available,947,195000,3.105,45057,0,51850,222,223,,2.97,17982.6075,Truecut Soccer LLC,1963 State Road,"Cuyahoga Falls, OH 44223",611620,1.75,0.625,Q,M,365/365,KeyBank - East,61,OH
315552.11,138 582 9110,Tentative,Available,966,3653426.79,2.605,44421,21,53585,300,280,45029,2.97,282660.1506,"Valley View Health & Rehabilitation, LLC",1600 East Rollins Street,"Moberly, MO 65270",623110,2.25,1.125,Q,M,365/365,Celtic Bank,62,MO
316651.11,124 093 9107,Tentative,Available,966,3678203.57,3.105,44522,18,53676,300,283,45019,2.97,339198.4159,Hari Om Hotels LLC,100 Spring Valley Market Place,"Spring Valley, NY 10977",721110,2.75,1.625,Q,M,365/365,State Bank of Texas,72,NY
316803.11,698 474 8500,Tentative,Available,966,3412195.08,2.605,44260,26,53707,309,284,45021,2.97,263996.415,"Stratton Management Clairemont, LLC",1000 W. Clairemont Ave.,"Eau Claire, WI 54701",811192,2.25,1.125,Q,M,365/365,Celtic Bank,81,WI
