Govt Loan #,"Notional Gtd
Balance",Invested,Gross Margin,Strip Rate,Multiple,Price,Note Date,Note Maturity Date,Business Name,City,State,Zip,NAICS,Originator
3823949100,518858.87,46440.46,0.025,0.03315,2.7,0.089505,44663,48499,Flourish Restaurants LLC dba Foundation Social Eatery,Marietta,GA,30066,722511,North State Bank
4345929104,331214.57,36263.03,0.0275,0.04055,2.7,0.109485,44841,48494,VAG Group dba Budget Blinds,Mequon,WI,53092,541410,Waukesha State Bank
4311069108,76245,7318.38,0.0225,0.03555,2.7,0.095985,44825,48478,Blush Boot Camp Ankeny LLC,Ankeny,IA,50023,713940,Regent Bank
4270879107,492219.86,44056.14,0.025,0.03315,2.7,0.089505,44813,48466,"Oasis Pharmacy Services, LLC",West Columbia ,SC,29169,456110,First Financial Bank
4101709101,185244.4,20281.48,0.0275,0.04055,2.7,0.109485,44720,48465,Layden Holdings LLC,Palmyra,PA,17078,812990,Fulton Bank
4124639107,209498.87,22936.98,0.0275,0.04055,2.7,0.109485,44803,48456,"Natasha Caffe, LLC dba German Knodle",St. Petersburg,FL,33705,722513,Lake Michigan Credit Union
4239699103,659887.27,63517.45,0.0275,0.03565,2.7,0.096255,44802,48455,"LEN SPARK, LLC",Tinley Park,IL,60487,561720,Byline Bank
4255549104,215611.44,19240.09,0.02,0.03305,2.7,0.089235,44802,48455,M&S Management Group LLC,Clinton,MO,64735,713940,Regent Bank
4260709109,1239177.38,83811.76,0.0175,0.02505,2.7,0.067635,44802,48455,AZ PLUMBER GUY LLC,Peoria,AZ,85381,238220,Falcon National Bank
4253309109,336382.86,32378.53,0.0275,0.03565,2.7,0.096255,44799,48452,EBEJOY LLC,Farmers Branch,TX,75234,624410,Byline Bank
4191869106,1707838.83,103981.77,0.015,0.02255,2.7,0.060885,44788,48441,K.B. SERVICE COMPANY,Little Canada,MN,55117,238220,Falcon National Bank
4759789110,127500,16713.34,0.0375,0.04855,2.7,0.131085,44991,47548,Wild Side Market LLC,Stonington,CT,6379,445131,Thread Bank
